                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.98433,                0.92007,                 1.0636,                0.52357,                0.31796,                0.32943,                0.24642,                 1.1241,                 2.1405,                 1.1639,              0.0094555,              0.0094555,              0.0094555
                     36,                0.97955,                0.89788,                 1.0648,                0.62667,                0.31462,                0.33283,                0.24933,                 1.1099,                 2.1357,                 1.1649,               0.009439,               0.009439,               0.009439
                     37,                0.97974,                0.89721,                 1.0606,                0.51309,                0.34988,                  0.352,                0.26226,                 1.1306,                  2.045,                 1.1843,              0.0094225,              0.0094225,              0.0094225
                     38,                0.97703,                0.88727,                 1.0569,                0.61119,                0.33255,                0.34888,                0.25916,                 1.1092,                 2.0686,                  1.168,               0.009406,               0.009406,               0.009406
                     39,                0.95884,                0.84647,                 1.0417,                0.58119,                0.33647,                 0.3486,                0.26137,                  1.146,                 2.1255,                 1.1832,              0.0093895,              0.0093895,              0.0093895
                     40,                 0.9678,                0.86221,                  1.055,                0.60517,                0.31268,                0.33844,                0.25147,                 1.1131,                 2.1159,                 1.1598,               0.009373,               0.009373,               0.009373
                     41,                0.94154,                0.82392,                 1.0444,                0.64397,                0.32935,                 0.3604,                0.26896,                 1.1256,                 2.0889,                 1.1852,              0.0093565,              0.0093565,              0.0093565
                     42,                 0.9469,                0.82001,                 1.0437,                0.57506,                0.33418,                0.33897,                0.25287,                 1.1227,                 2.1427,                 1.1727,                0.00934,                0.00934,                0.00934
                     43,                0.92994,                0.79476,                 1.0377,                0.58708,                0.33334,                0.34935,                0.26058,                 1.1271,                 2.1543,                 1.1701,              0.0093235,              0.0093235,              0.0093235
                     44,                0.93303,                0.80475,                 1.0351,                0.56338,                0.34596,                0.35434,                0.26436,                 1.1116,                  2.085,                 1.1664,               0.009307,               0.009307,               0.009307
                     45,                0.93605,                0.77017,                 1.0358,                 0.6305,                0.34015,                0.36005,                0.26639,                 1.1206,                 2.0992,                  1.181,              0.0092905,              0.0092905,              0.0092905
                     46,                0.93117,                0.78467,                 1.0347,                0.61926,                0.33865,                0.35996,                0.27017,                 1.1172,                 2.1378,                  1.169,               0.009274,               0.009274,               0.009274
